player_positions,long_name,overall,age,height_cm,club_name,league_name,skill_dribbling,pace,shooting,passing,dribbling,defending,physic,preferred_foot,goalkeeping_diving
"ST, LW",Kylian Mbappé Lottin,91,24,182,Paris Saint Germain,Ligue 1,93,97.0,90.0,80.0,92.0,36.0,78.0,Right,13
ST,Erling Braut Haaland,91,22,195,Manchester City,Premier League,79,89.0,93.0,66.0,80.0,45.0,88.0,Left,7
"CM, CAM",Kevin De Bruyne,91,32,181,Manchester City,Premier League,86,72.0,88.0,94.0,87.0,65.0,78.0,Right,15
"CF, CAM",Lionel Andrés Messi Cuccittini,90,36,169,Inter Miami,Major League Soccer,96,80.0,87.0,90.0,94.0,33.0,64.0,Left,6
"CF, ST",Karim Benzema,90,35,185,Al Ittihad,Pro League,87,79.0,88.0,83.0,87.0,39.0,78.0,Right,13
ST,Robert Lewandowski,90,34,185,FC Barcelona,La Liga,86,75.0,91.0,80.0,87.0,44.0,84.0,Right,15
GK,Thibaut Nicolas Marc Courtois,90,31,199,Real Madrid,La Liga,13,,,,,,,Left,85
ST,Harry Kane,90,29,188,FC Bayern München,Bundesliga,82,69.0,93.0,84.0,83.0,49.0,83.0,Right,8
LW,Vinícius José Paixão de Oliveira Júnior,89,22,176,Real Madrid,La Liga,92,95.0,82.0,78.0,90.0,29.0,68.0,Right,5
GK,Alisson Ramsés Becker,89,30,193,Liverpool,Premier League,27,,,,,,,Right,86
"CDM, CM",Rodrigo Hernández Cascante,89,27,191,Manchester City,Premier League,79,58.0,73.0,80.0,80.0,85.0,84.0,Right,10
CB,Rúben dos Santos Gato Alves Dias,89,26,187,Manchester City,Premier League,64,62.0,39.0,66.0,69.0,89.0,87.0,Right,7
LW,Neymar da Silva Santos Júnior,89,31,175,Al Hilal,Pro League,95,86.0,83.0,85.0,93.0,37.0,61.0,Right,9
GK,Marc-André ter Stegen,89,31,187,FC Barcelona,La Liga,21,,,,,,,Right,86
CDM,Carlos Henrique Venancio Casimiro,89,31,185,Manchester United,Premier League,69,63.0,75.0,79.0,73.0,89.0,88.0,Right,13
CB,Virgil van Dijk,89,31,193,Liverpool,Premier League,70,78.0,60.0,71.0,72.0,89.0,86.0,Right,13
